c1 c2 c3 c4 c5 c6 c7 c8 c9 c10 outcome
2  7  0  0  0  0  0  0  0   0       0
0  0  3  0  0  0  0  0  0   0       0
0  0  0  6  1  0  0  0  0   0       0
0  0  0  2  0  0  0  0  0   0       0
0  0  0  0  0  0  0  0 12   0       1
0  0  0  0  0 25  0  0  0   0       1
1  0  0  0  2  0  0  0  0   0       0
0  0  0  2  0  0  0  0  0   0       0
0  0  0  0  0  0  0  0 14   0       1
0  0  0  0  0 21  0  0  0   0       1
0  0  0  0  0  0 28  0  0   0       1
0  0  0  0  0  0  0 35  0   0       1
0  0  0  0  0  0  0  0 42   0       1
0  0  0  0  0  0  0  0  0  49       1
